# WING gesture data
# 128 samples of accelerometer data (x, y, z)
# Quantization: scale=12.452904, zero_point=-37

 -62,  -20,   45
 -65,  -19,   44
 -67,  -18,   41
 -67,  -18,   42
 -65,  -21,   38
 -66,  -22,   41
 -65,  -21,   42
 -62,  -22,   41
 -67,  -19,   41
 -65,  -15,   44
 -65,  -18,   41
 -63,  -22,   41
 -66,  -19,   41
 -66,  -20,   41
 -65,  -20,   41
 -66,  -18,   44
 -65,  -21,   41
 -63,  -20,   42
 -65,  -18,   43
 -66,  -21,   43
 -67,  -18,   43
 -67,  -17,   42
 -66,  -17,   42
 -66,  -17,   41
 -67,  -18,   41
 -64,  -19,   40
 -64,  -18,   43
 -66,  -20,   40
 -66,  -22,   40
 -66,  -20,   42
 -64,  -17,   42
 -67,  -19,   43
 -63,  -19,   42
 -60,  -21,   43
 -64,  -18,   45
 -64,  -20,   40
 -66,  -19,   39
 -63,  -21,   40
 -65,  -19,   43
 -66,  -21,   41
 -65,  -20,   41
 -65,  -19,   42
 -64,  -18,   42
 -66,  -18,   42
 -67,  -20,   43
 -67,  -18,   43
 -65,  -18,   41
 -67,  -19,   42
 -64,  -20,   41
 -63,  -20,   40
 -66,  -23,   44
 -66,  -16,   40
 -66,  -18,   41
 -65,  -20,   41
 -65,  -20,   45
 -63,  -20,   43
 -64,  -20,   45
 -65,  -19,   43
 -62,  -21,   40
 -65,  -22,   43
 -65,  -19,   43
 -66,  -17,   42
 -65,  -19,   42
 -68,  -17,   28
 -70,  -20,   28
 -67,  -11,   36
 -65,   -1,   39
 -65,    2,   39
 -68,    1,   41
 -69,    6,   56
 -64,   11,   92
 -61,    4,   86
 -57,   -6,   63
 -46,  -28,    3
 -45,  -29,  -17
 -40,  -32,  -38
 -29,  -38,  -64
 -20,  -43,  -64
  -8,  -49,  -33
  19,   12,   83
  13,   52,  105
  -4,   63,  116
 -18,   28,  127
  -6,   46,  127
  11,   30,  106
  21,  -63,   10
  12,  -73,  -11
  -1,  -79,  -35
 -26, -111,  -79
 -33, -116, -109
 -15,  -97, -116
  60,    3,    8
  57,   56,   68
  22,   54,   97
 -40,   52,  127
 -32,   72,  127
 -23,   49,  127
   8,    5,   95
  15,  -23,   72
  13,  -62,   35
 -17, -116,  -47
 -32, -105,  -57
 -48,  -92,  -53
 -62,  -32,   -9
 -61,  -14,   17
 -63,    1,   43
 -73,   -5,   67
 -74,  -13,   58
 -72,  -12,   52
 -65,    0,   47
 -66,   -8,   44
 -68,  -16,   40
 -66,  -15,   38
 -66,  -10,   39
 -66,   -8,   42
 -67,  -16,   44
 -65,  -16,   40
 -66,  -18,   37
 -70,  -15,   58
 -70,  -15,   49
 -68,  -19,   12
 -68,  -23,   52
 -67,  -25,   43
 -66,  -16,   40
 -65,   -2,   49
 -66,   -5,   40
 -66,  -12,   43
 -62,   -8,   37
