# RING gesture data
# 128 samples of accelerometer data (x, y, z)
# Quantization: scale=12.452904, zero_point=-37

 -94,   -5,   16
 -99,   -2,   15
 -98,   -2,   13
 -95,   -2,   15
 -96,   -3,   11
 -95,   -2,   13
 -96,   -2,   16
 -97,   -1,   15
 -95,   -3,   17
 -96,   -2,   17
 -97,   -2,   17
 -97,   -4,   14
 -98,   -1,   13
 -96,   -5,   13
 -97,   -3,   12
 -98,   -4,   13
 -97,   -4,   13
 -97,   -6,   14
-100,   -4,   16
 -97,   -4,   16
 -99,   -2,   14
 -95,   -4,   14
 -97,   -6,   13
 -95,   -1,   15
 -99,   -3,   15
 -96,   -2,   16
 -96,   -3,   18
-100,   -5,   14
 -94,   -3,   12
 -96,   -3,   15
 -99,   -2,   12
 -97,   -4,   12
 -95,   -3,   15
 -95,   -2,   14
 -96,   -3,   14
 -94,   -1,   18
-100,   -1,   14
 -97,   -3,   14
 -97,    0,   13
 -95,   -1,   14
 -95,   -4,   14
 -95,   -1,   12
 -97,   -1,   14
 -95,   -4,   14
 -96,   -2,   15
 -98,   -4,   15
 -97,   -1,   14
 -95,   -3,   13
 -95,   -3,   16
 -98,   -3,   13
 -96,   -1,   15
 -94,   -3,   15
 -96,   -3,   14
 -98,   -3,   13
 -95,   -4,   13
-100,   -7,   14
 -94,   -2,   12
 -98,   -3,   14
 -97,   -4,   15
 -96,   -3,   14
 -95,   -3,   17
 -96,   -4,   14
 -94,   -3,   13
 -95,   -2,   15
 -95,   -3,   14
 -96,   -6,   12
 -96,   -3,   14
 -95,   -1,   14
 -92,    9,   14
 -88,   14,   15
 -83,   17,   12
 -69,   25,  -12
 -68,   17,  -18
 -68,    8,   -5
 -74,   -5,   23
 -72,   -6,   14
 -70,  -12,   10
 -65,  -16,    6
 -63,  -20,    5
 -62,  -28,    8
 -54,  -43,   19
 -49,  -44,   15
 -39,  -44,   21
 -24,  -47,   43
 -20,  -46,   45
 -12,  -49,   54
   8,  -48,   79
  16,  -45,   86
  24,  -42,  100
  26,  -37,  125
  28,  -37,  109
  33,  -38,   87
  37,  -46,   71
  38,  -47,   68
  39,  -43,   56
  33,  -37,   40
  29,  -32,   38
  21,  -22,   42
  -4,  -15,   48
  -5,  -17,   46
  -2,  -20,   45
  -1,  -16,   55
  -1,   -6,   58
  -1,   -1,   52
  -9,    2,   43
 -12,    0,   42
 -17,    3,   36
 -31,   -4,   28
 -36,   -7,   23
 -44,  -12,   19
 -60,  -18,   16
 -62,  -18,   19
 -66,  -17,   17
 -76,  -16,    7
 -79,  -19,    7
 -84,  -27,    6
 -92,  -30,   14
 -94,  -32,   15
 -94,  -32,   16
 -95,  -28,   19
 -94,  -22,   25
 -94,  -15,   21
 -96,  -26,   14
 -97,  -27,   15
 -97,  -22,   16
 -96,  -19,   16
 -96,  -18,    8
 -97,  -22,   16
