# SLOPE gesture data (quantized from raw training)
# 128 samples of accelerometer data (x, y, z)
# Quantization: scale=12.452904, zero_point=-37

 -99,  -26,   20
 -97,  -17,   16
 -94,  -12,   14
 -94,  -17,   13
 -94,  -19,   16
 -94,  -21,   23
 -94,  -19,   21
 -95,  -18,   20
 -97,  -28,   12
 -97,  -41,    9
 -97,  -59,    5
 -91,  -90,   11
 -85,  -88,   12
 -78,  -82,   12
 -60,  -50,    6
 -57,  -49,    3
 -54,  -44,    3
 -37,   -4,   19
 -40,  -13,   53
 -44,   -4,   82
 -53,   44,  116
 -55,   42,  103
 -56,   38,   80
 -47,   30,   35
 -43,   27,   36
 -39,   23,   37
 -28,   22,   40
 -26,   12,   40
 -25,   -3,   45
 -28,  -46,   52
 -32,  -62,   54
 -38,  -76,   58
 -46,  -90,   84
 -46,  -82,   88
 -47,  -66,   73
 -55,  -43,   37
 -54,  -39,   41
 -53,  -33,   48
 -51,  -31,   50
 -51,  -29,   49
 -50,  -26,   47
 -50,  -19,   41
 -49,  -11,   34
 -47,  -18,   56
 -46,  -27,   37
 -48,  -27,   38
 -49,  -28,   42
 -52,  -29,   40
 -51,  -30,   45
 -51,  -30,   45
 -50,  -24,   52
 -52,  -29,   46
 -51,  -26,   48
 -49,  -36,   47
 -51,  -31,   44
-101,  -12,   24
 -99,  -16,   26
 -96,  -20,   25
 -95,  -18,   22
 -95,  -19,   20
 -94,  -28,    8
 -94,  -33,    3
 -92,  -39,   -3
 -83,  -63,   -1
 -80,  -76,   -2
 -74,  -81,   -5
 -51,  -65,    7
 -46,  -63,   20
 -39,  -50,   29
 -22,   20,   56
 -25,   23,   88
 -30,   33,  107
 -43,   54,  103
 -44,   49,   83
 -43,   43,   64
 -33,   31,   29
 -29,   28,   25
 -23,   26,   26
 -12,   13,   31
 -10,   -2,   31
 -10,  -18,   40
 -13,  -43,   52
 -19,  -55,   47
 -28,  -83,   45
 -36, -102,   95
 -39,  -94,   97
 -40,  -79,   83
 -44,  -51,   56
 -43,  -48,   51
 -41,  -39,   45
 -42,  -30,   54
 -41,  -30,   55
 -41,  -26,   54
 -43,  -29,   44
 -44,  -26,   43
 -45,  -22,   41
 -47,  -20,   40
 -47,  -21,   40
 -48,  -19,   34
 -46,  -28,   50
 -45,  -22,   45
 -46,  -25,   45
 -48,  -22,   49
 -48,  -27,   48
 -49,  -28,   46
 -51,  -27,   49
 -51,  -27,   41
 -50,  -27,   43
-101,  -20,   23
-100,  -12,    9
-100,   -9,   19
 -99,  -13,   21
 -99,  -16,   17
 -98,  -34,    1
 -98,  -41,   -2
 -94,  -57,   -6
 -84,  -96,  -16
 -75, -100,  -19
 -61,  -93,  -15
 -31,  -69,   -8
 -23,  -46,    4
 -19,  -19,   42
 -20,   69,  119
 -25,   67,  123
 -31,   60,  117
 -44,   42,   68
 -38,   47,   51
 -31,   47,   36
